carbonsource,experiment,cellno,ID,time,recovery_time,observation
gly2,231215,1,231215_gly2_1,6.8794,0,0.157967866
gly2,231215,1,231215_gly2_1,7.5075,0.6281,0.187784736
gly2,231215,1,231215_gly2_1,8.1356,1.2562,0.185420696
gly2,231215,1,231215_gly2_1,8.7638,1.8844,0.225258444
gly2,231215,1,231215_gly2_1,9.3919,2.5125,0.21473668
gly2,231215,1,231215_gly2_1,10.02,3.1406,0.223945834
gly2,231215,1,231215_gly2_1,10.6482,3.7688,0.244194488
gly2,231215,1,231215_gly2_1,11.2763,4.3969,0.247377828
gly2,231215,1,231215_gly2_1,11.9045,5.0251,0.276809298
gly2,231215,1,231215_gly2_1,12.5326,5.6532,0.218092608
gly2,231215,1,231215_gly2_1,13.1607,6.2813,0.288011686
gly2,231215,1,231215_gly2_1,13.7889,6.9095,0.281269748
gly2,231215,1,231215_gly2_1,14.417,7.5376,0.282256574
gly2,231215,1,231215_gly2_1,15.0451,8.1657,0.269577163
gly2,231215,1,231215_gly2_1,15.6733,8.7939,0.279751941
gly2,231215,1,231215_gly2_1,16.3014,9.422,0.29803676
gly2,231215,1,231215_gly2_1,16.9295,10.0501,0.286522357
gly2,231215,1,231215_gly2_1,17.5577,10.6783,0.305732661
gly2,231215,1,231215_gly2_1,18.1858,11.3064,0.305800116
gly2,231215,1,231215_gly2_1,18.814,11.9346,0.307905532
gly2,231215,1,231215_gly2_1,19.4421,12.5627,0.341005425
gly2,231215,1,231215_gly2_1,20.0702,13.1908,0.294571437
gly2,231215,1,231215_gly2_1,20.6984,13.819,0.280965112
gly2,231215,1,231215_gly2_1,21.3265,14.4471,0.345368833
gly2,231215,1,231215_gly2_1,21.9546,15.0752,0.296305513
gly2,231215,1,231215_gly2_1,22.5828,15.7034,0.317769673
gly2,231215,1,231215_gly2_1,23.2109,16.3315,0.31800626
gly2,231215,1,231215_gly2_1,23.839,16.9596,0.329101169
gly2,231215,1,231215_gly2_1,24.4672,17.5878,0.326170615
gly2,231215,1,231215_gly2_1,25.0953,18.2159,0.305639001
gly2,231215,1,231215_gly2_1,25.7235,18.8441,0.306602084
gly2,231215,1,231215_gly2_1,26.3516,19.4722,0.348699022
gly2,231215,1,231215_gly2_1,26.9797,20.1003,0.299878637
gly2,231215,1,231215_gly2_1,27.6079,20.7285,0.353951949
gly2,231215,1,231215_gly2_1,28.236,21.3566,0.345759848
gly2,231215,1,231215_gly2_1,28.8641,21.9847,0.362151154
gly2,231215,1,231215_gly2_1,29.4923,22.6129,0.350565018
gly2,231215,1,231215_gly2_1,30.1204,23.241,0.363183863
gly2,231215,1,231215_gly2_1,30.7485,23.8691,0.299962312
gly2,231215,1,231215_gly2_1,31.3767,24.4973,0.316523345
gly2,231215,1,231215_gly2_1,32.0048,25.1254,0.264279157
gly2,231215,1,231215_gly2_1,32.633,25.7536,0.310248424
gly2,231215,1,231215_gly2_1,33.2611,26.3817,0.336905159
gly2,231215,1,231215_gly2_1,33.8892,27.0098,0.374547724
gly2,231215,1,231215_gly2_1,34.5174,27.638,0.377661047
gly2,231215,1,231215_gly2_1,35.1455,28.2661,0.330153222
gly2,231215,1,231215_gly2_1,35.7736,28.8942,0.341642127
gly2,231215,1,231215_gly2_1,36.4018,29.5224,0.32629894
gly2,231215,1,231215_gly2_1,37.0299,30.1505,0.328736273
gly2,231215,1,231215_gly2_1,37.6581,30.7787,0.374726725
gly2,231215,1,231215_gly2_1,38.2862,31.4068,0.290446661
gly2,231215,1,231215_gly2_1,38.9143,32.0349,0.376418214
gly2,231215,1,231215_gly2_1,39.5425,32.6631,0.371496408
gly2,231215,1,231215_gly2_1,40.1706,33.2912,0.409690111
gly2,231215,1,231215_gly2_1,40.7987,33.9193,0.37037275
gly2,231215,1,231215_gly2_1,41.4269,34.5475,0.395047607
gly2,231215,1,231215_gly2_1,42.055,35.1756,0.362242376
gly2,231215,1,231215_gly2_1,42.6831,35.8037,0.418933041
gly2,231215,1,231215_gly2_1,43.3113,36.4319,0.391714326
gly2,231215,1,231215_gly2_1,43.9394,37.06,0.348514015
gly2,231215,1,231215_gly2_1,44.5676,37.6882,0.422386005
gly2,231215,1,231215_gly2_1,45.1957,38.3163,0.367958991
gly2,231215,1,231215_gly2_1,45.8238,38.9444,0.406683427
gly2,231215,1,231215_gly2_1,46.452,39.5726,0.35651196
gly2,231215,1,231215_gly2_1,47.0801,40.2007,0.326329475
gly2,231215,1,231215_gly2_1,47.7082,40.8288,0.354330221
gly2,231215,1,231215_gly2_1,48.3364,41.457,0.399870644
gly2,231215,1,231215_gly2_1,48.9645,42.0851,0.411405441
gly2,231215,1,231215_gly2_1,49.5926,42.7132,0.342561886
gly2,231215,1,231215_gly2_1,50.2208,43.3414,0.377237255
gly2,231215,1,231215_gly2_1,50.8489,43.9695,0.398087089
gly2,231215,1,231215_gly2_1,51.4771,44.5977,0.402972779
gly2,231215,1,231215_gly2_1,52.1052,45.2258,0.397258318
gly2,231215,1,231215_gly2_1,52.7333,45.8539,0.395111079
gly2,231215,1,231215_gly2_1,53.3615,46.4821,0.437686501
gly2,231215,1,231215_gly2_1,53.9896,47.1102,0.367339776
gly2,231215,1,231215_gly2_1,54.6177,47.7383,0.387338173
gly2,231215,1,231215_gly2_1,55.2459,48.3665,0.429848093
gly2,231215,1,231215_gly2_1,55.874,48.9946,0.409897305
gly2,231215,1,231215_gly2_1,56.5021,49.6227,0.371172194
gly2,231215,1,231215_gly2_1,57.1303,50.2509,0.304618888
gly2,231215,1,231215_gly2_1,57.7584,50.879,0.297886741
gly2,231215,1,231215_gly2_1,58.3866,51.5072,0.419635593
gly2,231215,1,231215_gly2_1,59.0147,52.1353,0.431619938
gly2,231215,1,231215_gly2_1,59.6428,52.7634,0.49681266
gly2,231215,1,231215_gly2_1,60.271,53.3916,0.340260644
gly2,231215,1,231215_gly2_1,60.8991,54.0197,0.468918041
gly2,231215,1,231215_gly2_1,61.5272,54.6478,0.446938726
gly2,231215,1,231215_gly2_1,62.1554,55.276,0.36936211
gly2,231215,1,231215_gly2_1,62.7835,55.9041,0.42876163
gly2,231215,1,231215_gly2_1,63.4117,56.5323,0.401943284
gly2,231215,1,231215_gly2_1,64.0398,57.1604,0.411488896
gly2,231215,1,231215_gly2_1,64.6679,57.7885,0.410701599
gly2,231215,1,231215_gly2_1,65.2961,58.4167,0.397582315
gly2,231215,1,231215_gly2_1,65.9242,59.0448,0.486524257
gly2,231215,2,231215_gly2_2,5.6858,0,0.14667632
gly2,231215,2,231215_gly2_2,6.0752,0.3894,0.169858886
gly2,231215,2,231215_gly2_2,6.4646,0.7788,0.121256736
gly2,231215,2,231215_gly2_2,6.854,1.1682,0.163928512
gly2,231215,2,231215_gly2_2,7.2435,1.5577,0.19213672
gly2,231215,2,231215_gly2_2,7.6329,1.9471,0.166308852
gly2,231215,2,231215_gly2_2,8.0223,2.3365,0.202909791
gly2,231215,2,231215_gly2_2,8.4117,2.7259,0.18692693
gly2,231215,2,231215_gly2_2,8.8011,3.1153,0.186199074
gly2,231215,2,231215_gly2_2,9.1906,3.5048,0.203208443
gly2,231215,2,231215_gly2_2,9.58,3.8942,0.175127059
gly2,231215,2,231215_gly2_2,9.9694,4.2836,0.262892676
gly2,231215,2,231215_gly2_2,10.3588,4.673,0.226151862
gly2,231215,2,231215_gly2_2,10.7482,5.0624,0.262507951
gly2,231215,2,231215_gly2_2,11.1377,5.4519,0.254211599
gly2,231215,2,231215_gly2_2,11.5271,5.8413,0.230474381
gly2,231215,2,231215_gly2_2,11.9165,6.2307,0.249341382
gly2,231215,2,231215_gly2_2,12.3059,6.6201,0.219228323
gly2,231215,2,231215_gly2_2,12.6954,7.0096,0.238230512
gly2,231215,2,231215_gly2_2,13.0848,7.399,0.229808846
gly2,231215,2,231215_gly2_2,13.4742,7.7884,0.248090111
gly2,231215,2,231215_gly2_2,13.8636,8.1778,0.225666687
gly2,231215,2,231215_gly2_2,14.253,8.5672,0.296862846
gly2,231215,2,231215_gly2_2,14.6425,8.9567,0.238275096
gly2,231215,2,231215_gly2_2,15.0319,9.3461,0.198449015
gly2,231215,2,231215_gly2_2,15.4213,9.7355,0.275179663
gly2,231215,2,231215_gly2_2,15.8107,10.1249,0.266470617
gly2,231215,2,231215_gly2_2,16.2001,10.5143,0.272338744
gly2,231215,2,231215_gly2_2,16.5896,10.9038,0.24457939
