"carbonsource","cell_area_cyto","cell_area_nucleus","cellno","experiment","measurement_count","ID","time","measured_nuc_area","measured_cyto_area","BG_area","REF_area","ROI_nuc","ROI_cyto","BG","REF","REF_BG","logref","MID","a","r","y_start",".fitted",".resid","recovery_time","ROI_nuc_BG","ROI_cyto_BG","frap_norm","normREF","fullnormREF","normint","bleach_corrected_nucleus","bleach_corrected_nucleus_zeroes","fraptest","reftest","bleach_corrected_nucleus_test","normint_cyto","normint_nuc_zero","bleach_depth_nuc","bleached_volume","gap_ratio_nuc","corr_normint_nuc","tag"
"glu005",14.416,7.563,2,231215,6,"231215-glu005-2-6",9.41,2.1656,1.7223,6.5404,62.475,4.141,5.464,2.099,12.583,10.484,2.44095476225882,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,9.66145061961626,0.822549380383744,0,2.042,3.365,0,19.5749432598231,1.00663083718107,0.104317032897415,2.45473855720925,0,0.0950297840655249,0.910970926090054,0.098587489929833,0.216027897907821,0,0.904970215934475,0.429512098373661,21.0584879016263,0.00495368107077426,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,7,"231215-glu005-2-7",9.9176,2.1656,1.7223,6.5404,62.475,5.124,5.27,1.982,12.476,10.494,2.44182516008555,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,9.54363150653367,0.95036849346633,0.5076,3.142,3.288,0.0566668588228512,19.5936145143632,1.00759099631612,0.160358365614305,3.79464310479938,0.0624338820699647,0.146221146686523,0.911839841509827,0.152416617810996,0.210883466749031,0.0624868437381786,0.904970215934475,0.429512098373661,21.0584879016263,0.00761490408824275,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,8,"231215-glu005-2-8",10.4251,2.1656,1.7223,6.5404,62.475,3.973,6.405,2.083,12.097,10.014,2.39916719084029,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,9.42766228008578,0.586337719914217,1.0151,1.89,4.322,-0.00968467170115871,18.6973942964392,0.96150335783396,0.101083603952233,2.2931972416378,-0.00752714173853229,0.0879560685033507,0.870131901360721,0.0921186586733129,0.290488509957047,-0.00360531699445477,0.904970215934475,0.429512098373661,21.0584879016263,0.00480013590835391,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,9,"231215-glu005-2-9",10.9327,2.1656,1.7223,6.5404,62.475,5.403,6.43,2.101,11.748,9.647,2.36527816233247,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,9.31346890513219,0.333531094867805,1.5227,3.302,4.329,0.0727503314694183,18.0121592548181,0.926265517577812,0.183320608778025,4.02505597203546,0.0731701466839575,0.153667163067759,0.838242705455051,0.161704809908545,0.302027919253369,0.0880900553480448,0.904970215934475,0.429512098373661,21.0584879016263,0.00870530731524495,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,10,"231215-glu005-2-10",11.4403,2.1656,1.7223,6.5404,62.475,6.134,6.751,2.187,12.013,9.826,2.38195064837479,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,9.20104651360095,0.624953486399047,2.0303,3.947,4.564,0.114890182740532,18.3463747110856,0.943452366095116,0.215137871222867,4.83367258980062,0.110848259385465,0.183683916604617,0.853796291468988,0.194210659685204,0.312622807801414,0.123566733188867,0.904970215934475,0.429512098373661,21.0584879016263,0.0102162069863645,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,11,"231215-glu005-2-11",11.9479,2.1656,1.7223,6.5404,62.475,6.765,5.759,2.104,10.974,8.87,2.28949985344539,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,9.09036763995579,-0.220367639955793,2.5379,4.661,3.655,0.151265348475241,16.5614027770537,0.851661152784824,0.281437512434512,5.73461749200126,0.152828479451662,0.216911764705882,0.770727977338686,0.230433230194315,0.277341937294275,0.197491729605678,0.904970215934475,0.429512098373661,21.0584879016263,0.0133645641486337,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,12,"231215-glu005-2-12",12.4554,2.1656,1.7223,6.5404,62.475,6.742,6.068,2.109,11.372,9.263,2.32854519466358,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.98142654351623,0.281573456483766,3.0454,4.633,3.959,0.149939470801868,17.2951830804789,0.889395406792088,0.267878054741685,5.72667456640938,0.152458372729816,0.215608711839166,0.804876353335766,0.230137805221525,0.287664070235304,0.182372750934945,0.904970215934475,0.429512098373661,21.0584879016263,0.0127206690239614,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,13,"231215-glu005-2-13",12.963,2.1656,1.7223,6.5404,62.475,5.577,8.038,2.087,11.393,9.306,2.33272624990603,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.87415367592349,0.431846324076513,3.553,3.49,5.951,0.0827808843027613,17.3754694750013,0.893524091072781,0.200857882143627,4.33391988785489,0.0875618981938842,0.162416232315711,0.80861268964079,0.174185163912087,0.430406365267929,0.10764435227967,0.904970215934475,0.429512098373661,21.0584879016263,0.00953809613880752,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,14,"231215-glu005-2-14",13.4706,2.1656,1.7223,6.5404,62.475,6.346,10.97,2.012,10.814,8.802,2.28258644648736,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.76854446412734,0.0334555358726618,4.0606,4.334,8.958,0.127111316077708,16.4344382461811,0.845132070666519,0.263714520391781,5.40704031530986,0.137564769170846,0.201693968726731,0.764819352484229,0.217337521135949,0.684985656129091,0.177730353837872,0.904970215934475,0.429512098373661,21.0584879016263,0.0125229561411869,"231215_glu005_2"
"glu005",14.416,7.563,2,231215,15,"231215-glu005-2-15",13.9781,2.1656,1.7223,6.5404,62.475,5.617,8.498,2.042,10.905,8.863,2.28879038197186,"glu005-231215-2",10.1503552239866,-0.0307922622987006,2.06445,8.66459343040002,0.198406569599982,4.5681,3.575,6.456,0.0850867585173229,16.5483328988756,0.850989041390292,0.216033845937611,4.48086230460465,0.0944087930230198,0.166371928518243,0.770119736544845,0.180128117579225,0.490269138176595,0.124565757110665,0.904970215934475,0.429512098373661,21.0584879016263,0.0102587539497994,"231215_glu005_2"
